Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2020,round18,Game9,Collingwood,45,Gabba,MCG,VIC,6
2019,round1,Game1,Carlton,64,MCG,Docklands,VIC,18
2019,round1,Game2,Collingwood,65,MCG,MCG,VIC,3
2019,round1,Game3,Melbourne,61,MCG,MCG,VIC,5
2019,round1,Game4,Adelaide,55,Adelaide Oval,Adelaide Oval,SA,12
2019,round1,Game5,Western Bulldogs,82,Docklands,Docklands,VIC,13
2019,round1,Game6,Brisbane,102,Gabba,Gabba,QLD,15
2019,round1,Game7,St. Kilda,85,Docklands,Docklands,VIC,16
2019,round1,Game8,Greater Western Sydney,112,Sydney Showground,Sydney Showground,NSW,7
2019,round1,Game9,Fremantle,141,Perth Stadium,Perth Stadium,WA,14
2019,round2,Game1,Richmond,66,MCG,MCG,VIC,5
2019,round2,Game2,Sydney,65,SCG,SCG,NSW,12
2019,round2,Game3,Essendon,65,Docklands,Docklands,VIC,18
2019,round2,Game4,Port Adelaide,88,Adelaide Oval,Adelaide Oval,SA,6
2019,round2,Game5,West Coast,104,Perth Stadium,Perth Stadium,WA,16
2019,round2,Game6,Geelong,126,Kardinia Park,Kardinia Park,VIC,8
2019,round2,Game7,North Melbourne,87,Docklands,Docklands,VIC,17
2019,round2,Game8,Hawthorn,87,MCG,MCG,VIC,4
2019,round2,Game9,Gold Coast,61,Metricon,Metricon,QLD,10
2019,round3,Game1,Adelaide,75,Adelaide Oval,Adelaide Oval,SA,12
2019,round3,Game2,Melbourne,112,MCG,MCG,VIC,18
2019,round3,Game3,Carlton,74,Docklands,Docklands,VIC,15
2019,round3,Game4,Greater Western Sydney,125,Sydney Showground,Sydney Showground,NSW,8
2019,round3,Game5,Brisbane,107,Gabba,Gabba,QLD,2
2019,round3,Game6,Collingwood,76,MCG,MCG,VIC,7
2019,round3,Game7,Western Bulldogs,68,Docklands,Docklands,VIC,4
2019,round3,Game8,Hawthorn,87,MCG,MCG,VIC,9
2019,round3,Game9,Fremantle,71,Perth Stadium,Perth Stadium,WA,6
2019,round4,Game1,Sydney,78,SCG,SCG,NSW,12
2019,round4,Game2,Collingwood,78,MCG,MCG,VIC,11
2019,round4,Game3,Geelong,75,Kardinia Park,Kardinia Park,VIC,1
2019,round4,Game4,Essendon,112,MCG,Docklands,VIC,15
2019,round4,Game5,Port Adelaide,92,Adelaide Oval,Adelaide Oval,SA,8
2019,round4,Game6,North Melbourne,71,Docklands,Docklands,VIC,17
2019,round4,Game7,West Coast,69,Perth Stadium,Perth Stadium,WA,6
2019,round4,Game8,Gold Coast,59,Metricon,Metricon,QLD,9
2019,round4,Game9,St. Kilda,74,Docklands,Docklands,VIC,10
2019,round5,Game1,Brisbane,61,Gabba,Gabba,QLD,4
2019,round5,Game2,North Melbourne,58,Docklands,Docklands,VIC,17
2019,round5,Game3,West Coast,53,Perth Stadium,Perth Stadium,WA,3
2019,round5,Game4,Greater Western Sydney,82,UNSW Canberra Oval,Sydney Showground,NSW,2
2019,round5,Game5,Melbourne,55,MCG,MCG,VIC,16
2019,round5,Game6,Richmond,89,Docklands,MCG,VIC,13
2019,round5,Game7,Western Bulldogs,57,Docklands,Docklands,VIC,10
2019,round5,Game8,Adelaide,119,Adelaide Oval,Adelaide Oval,SA,14
2019,round5,Game9,Hawthorn,90,MCG,MCG,VIC,9
2019,round6,Game1,Richmond,85,MCG,MCG,VIC,10
2019,round6,Game2,Essendon,69,MCG,Docklands,VIC,7
2019,round6,Game3,Port Adelaide,88,Adelaide Oval,Adelaide Oval,SA,5
2019,round6,Game4,Gold Coast,62,Metricon,Metricon,QLD,11
2019,round6,Game5,St. Kilda,68,Docklands,Docklands,VIC,2
2019,round6,Game6,Sydney,79,SCG,SCG,NSW,16
2019,round6,Game7,Fremantle,88,Perth Stadium,Perth Stadium,WA,3
2019,round6,Game8,Hawthorn,93,University of Tasmania Stadium,MCG,VIC,13
2019,round6,Game9,Geelong,104,Kardinia Park,Kardinia Park,VIC,1
2019,round7,Game1,Collingwood,108,Docklands,MCG,VIC,3
2019,round7,Game2,Melbourne,79,MCG,MCG,VIC,18
2019,round7,Game3,Greater Western Sydney,114,UNSW Canberra Oval,Sydney Showground,NSW,4
2019,round7,Game4,Brisbane,103,Gabba,Gabba,QLD,7
2019,round7,Game5,Western Bulldogs,99,Docklands,Docklands,VIC,14
2019,round7,Game6,West Coast,80,Perth Stadium,Perth Stadium,WA,12
2019,round7,Game7,Carlton,62,Docklands,Docklands,VIC,15
2019,round7,Game8,Geelong,86,MCG,Kardinia Park,VIC,1
2019,round7,Game9,Adelaide,51,Adelaide Oval,Adelaide Oval,SA,9
2019,round8,Game1,Sydney,77,SCG,SCG,NSW,18
2019,round8,Game2,Western Bulldogs,92,Eureka,Docklands,VIC,12
2019,round8,Game3,Carlton,87,MCG,Docklands,VIC,17
2019,round8,Game4,Gold Coast,60,Metricon,Metricon,QLD,14
2019,round8,Game5,St. Kilda,70,Docklands,Docklands,VIC,8
2019,round8,Game6,Port Adelaide,68,Adelaide Oval,Adelaide Oval,SA,7
2019,round8,Game7,North Melbourne,80,Docklands,Docklands,VIC,15
2019,round8,Game8,Hawthorn,71,MCG,MCG,VIC,13
2019,round8,Game9,Fremantle,86,Perth Stadium,Perth Stadium,WA,5
2019,round9,Game1,West Coast,85,Perth Stadium,Perth Stadium,WA,7
2019,round9,Game2,Collingwood,112,MCG,MCG,VIC,2
2019,round9,Game3,Brisbane,93,Gabba,Gabba,QLD,5
2019,round9,Game4,Geelong,133,Kardinia Park,Kardinia Park,VIC,1
2019,round9,Game5,Essendon,60,Docklands,Docklands,VIC,13
2019,round9,Game6,North Melbourne,72,Blundstone Arena,Docklands,VIC,17
2019,round9,Game7,Port Adelaide,89,Adelaide Oval,Adelaide Oval,SA,11
2019,round9,Game8,Richmond,95,MCG,MCG,VIC,6
2019,round9,Game9,Greater Western Sydney,138,Sydney Showground,Sydney Showground,NSW,4
2019,round10,0Game1,Sydney,73,SCG,SCG,NSW,14
2019,round10,0Game2,Hawthorn,80,University of Tasmania Stadium,MCG,VIC,11
2019,round10,0Game3,Western Bulldogs,90,Docklands,Docklands,VIC,12
2019,round10,0Game4,Adelaide,73,Adelaide Oval,Adelaide Oval,SA,7
2019,round10,0Game5,Gold Coast,64,Metricon,Metricon,QLD,16
2019,round10,0Game6,Richmond,73,MCG,MCG,VIC,5
2019,round10,0Game7,Melbourne,68,MCG,MCG,VIC,15
2019,round10,0Game8,St. Kilda,68,Docklands,Docklands,VIC,13
2019,round10,0Game9,Fremantle,73,Perth Stadium,Perth Stadium,WA,9
2019,round11,1Game1,North Melbourne,99,Docklands,Docklands,VIC,14
2019,round11,1Game2,Collingwood,75,MCG,MCG,VIC,2
2019,round11,1Game3,Greater Western Sydney,126,Sydney Showground,Sydney Showground,NSW,3
