Player,Team,Position,,,
Max Warren,North Melbourne,Defender,,,
Tom Logan,Port Adelaide,Defender,,,
Darren Glass,West Coast,Defender,,,
Jacob Brennan,West Coast,Defender,,,
Ashley Smith,West Coast,Defender,,,
Blayne Wilson,West Coast,Defender,,,
Adam Carter,West Coast,Defender,,,
Tom Young,Western Bulldogs,Defender,,,
Christian Howard,Western Bulldogs,Defender,,,
Mark Austin,Western Bulldogs,Defender,,,
Richard Tambling,Adelaide,Defender,,,
Niall McKeever,Brisbane Lions,Defender,,,
Josh Bootsma,Carlton,Defender,,,
Nick Duigan,Carlton,Defender,,,
Aaron Joseph,Carlton,Defender,,,
Marcus Davies,Carlton,Defender,,,
Jordan Russell,Collingwood,Defender,,,
Lauchlan Dalgleish,Essendon,Defender,,,
Peter Faulks,Fremantle,Defender,,,
Alex Forster,Fremantle,Defender,,,
Jared Brennan,Gold Coast,Defender,,,
Joel Wilkinson,Gold Coast,Defender,,,
Jackson Allen,Gold Coast,Defender,,,
Leigh Osborne,Gold Coast,Defender,,,
Gerald Ugle,Greater Western Sydney,Defender,,,
Brent Guerra,Hawthorn,Defender,,,
Tom Gillies,Melbourne,Defender,,,
James Strauss,Melbourne,Defender,,,
Joel Macdonald,Melbourne,Defender,,,
Mitch Clisby,Melbourne,Defender,,,
Troy Davis,Melbourne,Defender,,,
Taylor Hine,North Melbourne,Defender,,,
Will Sierakowski,North Melbourne,Defender,,,
Cameron Delaney,North Melbourne,Defender,,,
Campbell Heath,Port Adelaide,Defender,,,
Lewis Stevenson,Port Adelaide,Defender,,,
Nathan Blee,Port Adelaide,Defender,,,
Jason Blake,St Kilda,Defender,,,
Martin Mattner,Sydney,Defender,,,
Adam Selwood,West Coast,Defender,,,
Beau Waters,West Coast,Defender,,,
Patrick Veszpremi,Western Bulldogs,Defender,,,
Lukas Markovic,Western Bulldogs,Defender,,,
Michael Doughty,Adelaide,Defender,,,
Cheynee Stiller,Brisbane Lions,Defender,,,
Josh Drummond,Brisbane Lions,Defender,,,
James Hawksley,Brisbane Lions,Defender,,,
Stephen Wrigley,Brisbane Lions,Defender,,,
Paul Bower,Carlton,Defender,,,
Rhys OKeeffe,Carlton,Defender,,,
Pat McCarthy,Carlton,Defender,,,
Peter Yagmoor,Collingwood,Defender,,,
Chris Tarrant,Collingwood,Defender,,,
Simon Buckley,Collingwood,Defender,,,
Henry Slattery,Essendon,Defender,,,
Jayden Pitt,Fremantle,Defender,,,
Antoni Grover,Fremantle,Defender,,,
Matthew Scarlett,Geelong,Defender,,,
David Wojcinski,Geelong,Defender,,,
Jeremy Taylor,Gold Coast,Defender,,,
Josh Toy,Gold Coast,Defender,,,
Michael Coad,Gold Coast,Defender,,,
Chad Cornes,Greater Western Sydney,Defender,,,
Clint Bartram,Melbourne,Defender,,,
Josh Tynan,Melbourne,Defender,,,
Jacob Surjan,Port Adelaide,Defender,,,
Daniel Connors,Richmond,Defender,,,
