Year,Round,Away,Away Score,Home Field-A,Away State
2018,r8g5,Adelaide,90,Adelaide Oval,SA
2018,r8g6,Brisbane,93,Gabba,QLD
2018,r8g7,St. Kilda,59,Docklands,VIC
2018,r8g8,Richmond,82,MCG,VIC
2018,r8g9,Geelong,66,Kardinia Park,VIC
2018,r9g1,Western Bulldogs,26,Docklands,VIC
2018,r9g2,Greater Western Sydney,69,Sydney Showground,NSW
2018,r9g3,Port Adelaide,82,Adelaide Oval,SA
2018,r9g4,Geelong,50,Kardinia Park,VIC
2018,r9g5,Fremantle,52,Perth Stadium,WA
2018,r9g6,Collingwood,100,MCG,VIC
2018,r9g7,Melbourne,159,MCG,VIC
2018,r9g8,Hawthorn,73,MCG,VIC
2018,r9g9,Richmond,83,MCG,VIC
2018,r10g1,Western Bulldogs,55,Docklands,VIC
2018,r10g2,St. Kilda,77,Docklands,VIC
2018,r10g3,Sydney,67,SCG,NSW
2018,r10g4,Carlton,45,Docklands,VIC
2018,r10g5,Essendon,95,Docklands,VIC
2018,r10g6,West Coast,75,Perth Stadium,WA
2018,r10g7,Adelaide,55,Adelaide Oval,SA
2018,r10g8,North Melbourne,86,Docklands,VIC
2018,r11g1,Carlton,61,Docklands,VIC
2018,r11g2,Melbourne,100,MCG,VIC
2018,r11g3,Port Adelaide,61,Adelaide Oval,SA
2018,r11g4,Geelong,121,Kardinia Park,VIC
2018,r11g5,Richmond,114,MCG,VIC
2018,r11g6,St. Kilda,88,Docklands,VIC
2018,r11g7,Brisbane,87,Gabba,QLD
2018,r11g8,Fremantle,77,Perth Stadium,WA
2018,r11g9,Greater Western Sydney,97,Sydney Showground,NSW
2018,r12g1,Richmond,58,MCG,VIC
2018,r12g2,North Melbourne,59,Docklands,VIC
2018,r12g3,Gold Coast,26,Metricon,QLD
2018,r12g4,Sydney,126,SCG,NSW
2018,r12g5,Essendon,84,Docklands,VIC
2018,r12g6,Adelaide,68,Adelaide Oval,SA
2018,r12g7,Collingwood,133,MCG,VIC
2018,r13g1,Western Bulldogs,75,Docklands,VIC
2018,r13g2,West Coast,57,Perth Stadium,WA
2018,r13g3,Fremantle,103,Perth Stadium,WA
2018,r13g4,St. Kilda,80,Docklands,VIC
2018,r13g5,Adelaide,32,Adelaide Oval,SA
2018,r13g6,Richmond,83,MCG,VIC
2018,r14g1,Essendon,80,Docklands,VIC
2018,r14g2,Melbourne,65,MCG,VIC
2018,r14g3,Gold Coast,43,Metricon,QLD
2018,r14g4,Greater Western Sydney,109,Sydney Showground,NSW
2018,r14g5,North Melbourne,77,Docklands,VIC
2018,r14g6,Carlton,59,Docklands,VIC
2018,r15g1,Sydney,67,SCG,NSW
2018,r15g2,Geelong,101,Kardinia Park,VIC
2018,r15g3,Port Adelaide,90,Adelaide Oval,SA
2018,r15g4,West Coast,78,Perth Stadium,WA
2018,r15g5,Collingwood,99,MCG,VIC
2018,r15g6,Hawthorn,84,MCG,VIC
2018,r15g7,St. Kilda,119,Docklands,VIC
2018,r15g8,North Melbourne,108,Docklands,VIC
2018,r15g9,Brisbane,119,Gabba,QLD
2018,r16g1,Geelong,71,Kardinia Park,VIC
2018,r16g2,Adelaide,56,Adelaide Oval,SA
2018,r16g3,Carlton,55,Docklands,VIC
2018,r16g4,St. Kilda,50,Docklands,VIC
2018,r16g5,Hawthorn,122,MCG,VIC
2018,r16g6,Fremantle,48,Perth Stadium,WA
2018,r16g7,Gold Coast,58,Metricon,QLD
2018,r16g8,Collingwood,78,MCG,VIC
2018,r16g9,Greater Western Sydney,75,Sydney Showground,NSW
2018,r17g1,Geelong,97,Kardinia Park,VIC
2018,r17g2,Carlton,52,Docklands,VIC
2018,r17g3,Brisbane,98,Gabba,QLD
2018,r17g4,Western Bulldogs,69,Docklands,VIC
2018,r17g5,Essendon,95,Docklands,VIC
2018,r17g6,Richmond,77,MCG,VIC
2018,r17g7,West Coast,102,Perth Stadium,WA
2018,r17g8,Sydney,104,SCG,NSW
2018,r17g9,Port Adelaide,50,Adelaide Oval,SA
2018,r18g1,Richmond,111,MCG,VIC
2018,r18g2,North Melbourne,64,Docklands,VIC
2018,r18g3,Gold Coast,88,Metricon,QLD
2018,r18g4,Fremantle,70,Perth Stadium,WA
2018,r18g5,Adelaide,93,Adelaide Oval,SA
2018,r18g6,Melbourne,98,MCG,VIC
2018,r18g7,Hawthorn,124,MCG,VIC
2018,r18g8,Western Bulldogs,46,Docklands,VIC
2018,r18g9,Greater Western Sydney,80,Sydney Showground,NSW
2018,r19g1,Sydney,66,SCG,NSW
2018,r19g2,Collingwood,77,MCG,VIC
2018,r19g3,Brisbane,78,Gabba,QLD
2018,r19g4,St. Kilda,61,Docklands,VIC
2018,r19g5,Carlton,79,Docklands,VIC
2018,r19g6,Melbourne,90,MCG,VIC
2018,r19g7,West Coast,41,Perth Stadium,WA
2018,r19g8,Port Adelaide,78,Adelaide Oval,SA
2018,r19g9,Hawthorn,112,MCG,VIC
2018,r20g1,Geelong,82,Kardinia Park,VIC
2018,r20g2,Essendon,103,Docklands,VIC
2018,r20g3,North Melbourne,107,Docklands,VIC
2018,r20g4,Port Adelaide,93,Adelaide Oval,SA
2018,r20g5,Western Bulldogs,103,Docklands,VIC
2018,r20g6,Collingwood,71,MCG,VIC
2018,r20g7,Greater Western Sydney,151,Sydney Showground,NSW
2018,r20g8,Gold Coast,47,Metricon,QLD
2018,r20g9,Fremantle,84,Perth Stadium,WA
2018,r21g1,St. Kilda,79,Docklands,VIC
2018,r21g2,Geelong,60,Kardinia Park,VIC
2018,r21g3,Richmond,125,MCG,VIC
2018,r21g4,West Coast,62,Perth Stadium,WA
2018,r21g5,Brisbane,73,Gabba,QLD
2018,r21g6,Adelaide,92,Adelaide Oval,SA
2018,r21g7,Western Bulldogs,92,Docklands,VIC
2018,r21g8,Sydney,87,SCG,NSW
2018,r21g9,Carlton,72,Docklands,VIC
2018,r22g1,Essendon,73,Docklands,VIC
2018,r22g2,Port Adelaide,64,Adelaide Oval,SA
2018,r22g3,Fremantle,25,Perth Stadium,WA
2018,r22g4,Sydney,80,SCG,NSW
2018,r22g5,Brisbane,78,Gabba,QLD
2018,r22g6,Hawthorn,80,MCG,VIC
2018,r22g7,Western Bulldogs,66,Docklands,VIC
2018,r22g8,Melbourne,108,MCG,VIC
2018,r22g9,North Melbourne,77,Docklands,VIC
2018,r23g1,Essendon,111,Docklands,VIC
2018,r23g2,Gold Coast,40,Metricon,QLD
2018,r23g3,Western Bulldogs,95,Docklands,VIC
2018,r23g4,Collingwood,76,MCG,VIC
2018,r23g5,Adelaide,165,Adelaide Oval,SA
2018,r23g6,Hawthorn,83,MCG,VIC
2018,r23g7,West Coast,98,Perth Stadium,WA
2018,r23g8,Greater Western Sydney,57,Sydney Showground,NSW
2018,r23g9,North Melbourne,117,Docklands,VIC
