,Player,Team,Position,DOB,Age,Height,Weight,,,,
1227,Lenny Hayes,St Kilda,Midfield,14-Jan-80,,186cm,83kg,,,,
1382,Lewis Pierce,St Kilda,Ruck,16-Nov-94,,202cm,88kg,,,,
1126,Luke Dunstan,St Kilda,Midfield,29-Jan-95,,185cm,84kg,,,,
947,Matthew Parker,St Kilda,Forward,25-Jan-96,,190cm,75kg,,,,
641,Nathan Wright,St Kilda,Forward,16-Feb-94,,185cm,77kg,,,,
169,Nick Coffield,St Kilda,Defender,23-Oct-99,,191cm,82kg,,,,
946,Nick Hind,St Kilda,Forward,19-Aug-94,,180cm,71kg,,,,
967,Oscar Clavarino,St Kilda,Defender,22-May-99,,197cm,89kg,,,,
638,Paddy McCartin,St Kilda,Forward,19-Apr-96,,195cm,100kg,,,,
411,Raphael Clarke,St Kilda,Defender,24-Sep-85,,188cm,85kg,,,,
948,Robbie Young,St Kilda,Forward,2-Mar-95,,178cm,76kg,,,,
640,Rowan Marshall,St Kilda,Forward,24-Nov-95,,202cm,106kg,,,,
1436,Sam Alabakis,St Kilda,Ruck,2-May-97,,211cm,105kg,,,,
1228,Sam Dunell,St Kilda,Midfield,21-Feb-90,,189cm,84kg,,,,
171,Sam Gilbert,St Kilda,Defender,19-Aug-86,,194cm,90kg,,,,
1121,Sebastian Ross,St Kilda,Midfield,7-May-93,,188cm,88kg,,,,
418,Corey Ellis,Richmond,Defender,9 Oct 96,22yr,184cm,75kg,,,,
155,Alex Rance,Richmond,Defender,9 Oct 89,29yr,194cm,96kg,,,,
902,Nathan Foley,Richmond,Forward,8 Sep 85,29yr,178cm,79kg,,,,
250,Oleg Markov,Richmond,Defender,8 May 96,22yr,188cm,73kg,,,,
623,Shai Bolton,Richmond,Forward,8 Dec 98,20yr,175cm,70kg,,,,
945,Jake Aarts,Richmond,Forward,8 Dec 94,24yr,180cm,76kg,,,,
965,Ben Miller,Richmond,Defender,8 Aug 92,23yr,183cm,84kg,,,,
4597,AndrewÿBrowne,Richmond,Ruck,7 Jul 90,21yr,203cm,105kg,,,,
1113,Trent Cotchin,Richmond,Midfield,7 Apr 90,29yr,185cm,85kg,,,,
826,Brad Miller,Richmond,Forward,6 Jul 83,28yr,194cm,96kg,,,,
1307,Marlion Pickett,Richmond,Midfield,6 Jan 92,27yr,183cm,85kg,,,,
249,Taylor Hunt,Richmond,Defender,5 Nov 90,26yr,183cm,80kg,,,,
694,Ben Lennon,Richmond,Forward,5 Jul 95,21yr,190cm,79kg,,,,
483,Jayden Post,Richmond,Forward,5 Dec 89,22yr,195cm,93kg,,,,
449,Derek Eggmolesse-Smith,Richmond,Defender,4 May 98,20yr,186cm,75kg,,,,
1405,Ivan Maric,Richmond,Ruck,4 Jan 86,31yr,200cm,102kg,,,,
5668,CadeynÿWilliams,Richmond,Forward,4 Aug 94,19yr,186cm,86kg,,,,
628,Jack Riewoldt,Richmond,Forward,31 Oct 88,30yr,195cm,94kg,,,,
251,Steven Morris,Richmond,Defender,31 Dec 88,28yr,185cm,83kg,,,,
1184,Andrew Moore,Richmond,Midfield,30 May 91,24yr,189cm,90kg,,,,
161,Ryan Garthwaite,Richmond,Defender,30 Jun 98,20yr,192cm,84kg,,,,
631,Callum Moore,Richmond,Forward,3 Sep 96,22yr,193cm,85kg,,,,
1304,Jack Ross,Richmond,Midfield,3 Sep 00,18yr,186cm,85kg,,,,
1118,Sam Lloyd,Richmond,Midfield,3 Mar 90,29yr,182cm,84kg,,,,
624,Dan Butler,Richmond,Forward,3 Jun 96,22yr,182cm,78kg,,,,
1306,Riley Collier-Dawkins,Richmond,Midfield,3 Feb 00,19yr,190cm,91kg,,,,
153,Brandon Ellis,Richmond,Defender,3 Aug 93,25yr,181cm,81kg,,,,
1117,Kamdyn McIntosh,Richmond,Midfield,3 Apr 94,25yr,192cm,89kg,,,,
695,Todd Elton,Richmond,Forward,29 Apr 93,23yr,197cm,97kg,,,,
625,Josh Caddy,Richmond,Forward,28 Sep 92,26yr,186cm,84kg,,,,
1185,Adam Marcon,Richmond,Midfield,28 Jul 92,23yr,180cm,80kg,,,,
1120,Anthony Miles,Richmond,Midfield,28 Feb 92,27yr,179cm,78kg,,,,
1242,Brad Helbig,Richmond,Midfield,28 Feb 92,22yr,185cm,85kg,,,,
448,Sydney Stack,Richmond,Defender,28 Apr 00,18yr,176cm,72kg,,,,
633,Liam Baker,Richmond,Forward,27 Jan 98,21yr,176cm,70kg,,,,
1204,Matt Thomas,Richmond,Midfield,27 Feb 87,28yr,186cm,87kg,,,,
627,Kane Lambert,Richmond,Forward,26 Nov 91,27yr,178cm,75kg,,,,
1243,Sam Lonergan,Richmond,Midfield,26 Mar 87,26yr,182cm,81kg,,,,
770,Jake King,Richmond,Forward,26 Mar 84,30yr,178cm,82kg,,,,
1116,Dustin Martin,Richmond,Midfield,26 Jun 91,27yr,187cm,89kg,,,,
319,Matt McDonough,Richmond,Defender,26 Jan 94,21yr,180cm,84kg,,,,
152,David Astbury,Richmond,Defender,26 Feb 91,28yr,195cm,96kg,,,,
1308,Fraser Turner,Richmond,Midfield,26 Dec 00,18yr,186cm,77kg,,,,
745,Chris Knights,Richmond,Forward,25 Sep 86,28yr,184cm,84kg,,,,
865,Shane Edwards,Richmond,Forward,25 Oct 88,30yr,182cm,83kg,,,,
4647,BenÿDarrou,Richmond,Defender,25 Nov 93,20yr,190cm,97kg,,,,
408,Kelvin Moore,Richmond,Defender,25 Mar 84,28yr,190cm,90kg,,,,
1114,Jack Graham,Richmond,Midfield,25 Feb 98,21yr,183cm,83kg,,,,
726,Liam McBean,Richmond,Forward,25 Aug 94,21yr,202cm,93kg,,,,
1225,Daniel Jackson,Richmond,Midfield,25 Apr 86,27yr,188cm,92kg,,,,
728,Mabior Chol,Richmond,Forward,24 May 97,21yr,197cm,80kg,,,,
4649,StevenÿVerrier,Richmond,Defender,24 Jun 93,19yr,187cm,84kg,,,,
899,Ricky Petterd,Richmond,Forward,24 Jul 88,26yr,185cm,85kg,,,,
156,Jayden Short,Richmond,Defender,24 Jan 96,23yr,177cm,72kg,,,,
1241,Shane Tuck,Richmond,Midfield,24 Dec 81,31yr,189cm,92kg,,,,
994,Noah Balta,Richmond,Forward,23 Oct 99,19yr,195cm,95kg,,,,
284,Troy Chaplin,Richmond,Defender,23 Feb 86,30yr,195cm,99kg,,,,
407,Daniel Connors,Richmond,Defender,22 Sep 88,23yr,186cm,84kg,,,,
1203,Matt Arnot,Richmond,Midfield,21 Oct 93,21yr,180cm,86kg,,,,
1404,Shaun Hampson,Richmond,Ruck,21 Mar 88,30yr,201cm,104kg,,,,
629,Jacob Townsend,Richmond,Forward,20 Jun 93,25yr,187cm,84kg,,,,
1325,Luke English,Richmond,Midfield,20 Aug 00,18yr,183cm,80kg,,,,
771,Aaron Edwards,Richmond,Forward,2 Mar 84,30yr,184cm,93kg,,,,
160,Connor Menadue,Richmond,Defender,19 Sep 96,22yr,187cm,69kg,,,,
696,Tyson Stengle,Richmond,Forward,19 Oct 98,20yr,171cm,69kg,,,,
630,Jack Higgins,Richmond,Forward,19 Mar 99,20yr,178cm,76kg,,,,
727,Nathan Drummond,Richmond,Forward,19 Jan 95,23yr,182cm,84kg,,,,
157,Nick Vlastuin,Richmond,Defender,19 Apr 94,25yr,187cm,86kg,,,,
1115,Shaun Grigg,Richmond,Midfield,19 Apr 88,31yr,190cm,85kg,,,,
318,Chris Newman,Richmond,Defender,18 May 82,32yr,183cm,81kg,,,,
825,Addam Maric,Richmond,Forward,18 Apr 90,22yr,176cm,76kg,,,,
693,Ben Griffiths,Richmond,Forward,17 Sep 91,26yr,200cm,104kg,,,,
772,Brett OHanlon,Richmond,Forward,17 Jul 93,20yr,189cm,89kg,,,,
154,Dylan Grimes,Richmond,Defender,16 Jul 91,27yr,193cm,88kg,,,,
632,Daniel Rioli,Richmond,Forward,16 Apr 97,22yr,179cm,65kg,,,,
1424,Angus Graham,Richmond,Ruck,16 Apr 87,27yr,201cm,106kg,,,,
1416,Orren Stephenson,Richmond,Ruck,15 Jul 82,31yr,200cm,104kg,,,,
1305,Patrick Naish,Richmond,Midfield,15 Jan 99,20yr,181cm,69kg,,,,
159,Nathan Broad,Richmond,Defender,15 Apr 93,26yr,192cm,83kg,,,,
1379,Ivan Soldo,Richmond,Ruck,14 Apr 96,23yr,204cm,106kg,,,,
1435,Callum Coleman-Jones,Richmond,Ruck,13 Jun 99,19yr,201cm,99kg,,,,
252,Jake Batchelor,Richmond,Defender,13 Feb 92,25yr,188cm,87kg,,,,
1119,Dion Prestia,Richmond,Midfield,12 Oct 92,26yr,175cm,81kg,,,,
158,Bachar Houli,Richmond,Defender,12 May 88,30yr,180cm,84kg,,,,
626,Jason Castagna,Richmond,Forward,12 Jul 96,22yr,181cm,78kg,,,,
409,Jeromey Webberley,Richmond,Defender,12 Jul 88,23yr,182cm,80kg,,,,
744,Nathan Gordon,Richmond,Forward,12 Feb 90,25yr,188cm,86kg,,,,
1378,Toby Nankervis,Richmond,Ruck,12 Aug 94,24yr,199cm,101kg,,,,
1112,Reece Conca,Richmond,Midfield,12 Aug 92,26yr,185cm,83kg,,,,
1434,Sam Hayes,Port Adelaide,Ruck,9 Jun 99,19yr,203cm,93kg,,,,
146,Tom Jonas,Port Adelaide,Defender,9 Jan 91,28yr,188cm,89kg,,,,
1303,Kai Pudney,Port Adelaide,Midfield,9 Jan 00,19yr,186cm,78kg,,,,
942,Zak Butters,Port Adelaide,Forward,8 Sep 00,18yr,181cm,71kg,,,,
617,Todd Marshall,Port Adelaide,Forward,8 Oct 98,20yr,198cm,87kg,,,,
1108,Sam Powell-Pepper,Port Adelaide,Midfield,8 Jan 98,21yr,187cm,91kg,,,,
377,Nathan Blee,Port Adelaide,Defender,7 Sep 90,22yr,192cm,87kg,,,,
1110,Ollie Wines,Port Adelaide,Midfield,7 Oct 94,24yr,187cm,89kg,,,,
140,Riley Bonner,Port Adelaide,Defender,7 Mar 97,22yr,190cm,85kg,,,,
1105,Dom Barry,Port Adelaide,Midfield,7 Mar 94,24yr,183cm,70kg,,,,
148,Jack Hombsch,Port Adelaide,Defender,7 Mar 93,26yr,193cm,89kg,,,,
1300,Xavier Duursma,Port Adelaide,Midfield,7 Jul 00,18yr,186cm,73kg,,,,
1183,Will Snelling,Port Adelaide,Midfield,6 Aug 97,21yr,175cm,70kg,,,,
283,Nathan Krakouer,Port Adelaide,Defender,5 May 88,28yr,182cm,78kg,,,,
944,Boyd Woodcock,Port Adelaide,Forward,5 Mar 00,19yr,174cm,70kg,,,,
1201,Kane Cornes,Port Adelaide,Midfield,5 Jan 83,32yr,183cm,81kg,,,,
151,Jarrod Lienert,Port Adelaide,Defender,5 Aug 94,24yr,195cm,88kg,,,,
824,Simon Phillips,Port Adelaide,Forward,5 Apr 87,25yr,174cm,71kg,,,,
1166,Joe Atley,Port Adelaide,Midfield,4 Aug 98,20yr,186cm,84kg,,,,
621,Aidyn Johnson,Port Adelaide,Forward,31 Oct 97,21yr,185cm,81kg,,,,
797,Daniel Stewart,Port Adelaide,Forward,30 Oct 88,24yr,200cm,94kg,,,,
864,Robbie Gray,Port Adelaide,Forward,30 Mar 88,31yr,183cm,84kg,,,,
376,Lewis Stevenson,Port Adelaide,Defender,30 Jul 89,24yr,189cm,86kg,,,,
282,Alipate Carlile,Port Adelaide,Defender,30 Apr 87,28yr,192cm,96kg,,,,
1415,Brent Renouf,Port Adelaide,Ruck,3 May 88,25yr,200cm,102kg,,,,
724,John Butcher,Port Adelaide,Forward,3 Jul 91,24yr,197cm,93kg,,,,
798,Cameron Hitchcock,Port Adelaide,Forward,3 Jul 90,23yr,176cm,75kg,,,,
147,Trent McKenzie,Port Adelaide,Defender,3 Apr 92,27yr,191cm,83kg,,,,
619,Jake Neade,Port Adelaide,Forward,29 May 94,23yr,170cm,67kg,,,,
863,Chad Wingard,Port Adelaide,Forward,29 Jul 93,25yr,181cm,81kg,,,,
1324,Jake Patmore,Port Adelaide,Midfield,29 Jan 99,20yr,181cm,72kg,,,,
1267,Darren Pfeiffer,Port Adelaide,Midfield,28 Sep 87,25yr,183cm,83kg,,,,
964,Riley Grundy,Port Adelaide,Defender,28 Jul 00,18yr,194cm,84kg,,,,
620,Lindsay Thomas,Port Adelaide,Forward,28 Feb 88,30yr,180cm,79kg,,,,
1411,Jarrad Redden,Port Adelaide,Ruck,27 Dec 90,24yr,205cm,101kg,,,,
618,Jack Watts,Port Adelaide,Forward,26 Mar 91,28yr,196cm,88kg,,,,
6930,CameronÿHewett,Port Adelaide,Midfield,26 Feb 97,22yr,188cm,77kg,,,,
691,Brett Eddy,Port Adelaide,Forward,26 Aug 89,27yr,193cm,97kg,,,,
145,Dougal Howard,Port Adelaide,Defender,25 Mar 96,23yr,199cm,92kg,,,,
6134,DanielÿFlynn,Port Adelaide,Defender,24 Sep 94,20yr,190cm,92kg,,,,
615,Charlie Dixon,Port Adelaide,Forward,23 Sep 90,28yr,200cm,105kg,,,,
142,Tom Clurey,Port Adelaide,Defender,23 Mar 94,25yr,193cm,88kg,,,,
1224,Domenic Cassisi,Port Adelaide,Midfield,22 Sep 82,31yr,184cm,85kg,,,,
941,Connor Rozee,Port Adelaide,Forward,22 Jan 00,19yr,185cm,74kg,,,,
1109,Tom Rockliff,Port Adelaide,Midfield,22 Feb 90,29yr,185cm,85kg,,,,
445,Joel Garner,Port Adelaide,Defender,21 May 99,19yr,184cm,83kg,,,,
4244,StevenÿSalopek,Port Adelaide,Midfield,21 Jun 85,26yr,185cm,83kg,,,,
6142,SamÿRussell,Port Adelaide,Defender,21 Dec 95,19yr,181cm,75kg,,,,
141,Darcy Byrne-Jones,Port Adelaide,Defender,20 Sep 95,23yr,181cm,75kg,,,,
4442,DanielÿWebb,Port Adelaide,Forward,20 Sep 89,22yr,197cm,92kg,,,,
1377,Billy Frampton,Port Adelaide,Ruck,20 Nov 96,22yr,200cm,90kg,,,,
1202,Sam Colquhoun,Port Adelaide,Midfield,20 Dec 94,21yr,179cm,72kg,,,,
150,Jack Trengove,Port Adelaide,Defender,2 Sep 91,27yr,185cm,82kg,,,,
342,Tom Logan,Port Adelaide,Defender,2 Jul 85,29yr,183cm,84kg,,,,
1165,Jimmy Toumpas,Port Adelaide,Midfield,2 Jan 94,24yr,183cm,79kg,,,,
1106,Brad Ebert,Port Adelaide,Midfield,2 Apr 90,29yr,189cm,90kg,,,,
1266,John McCarthy,Port Adelaide,Midfield,19 Nov 89,22yr,189cm,82kg,,,,
692,Angus Monfries,Port Adelaide,Forward,19 Jan 87,30yr,185cm,81kg,,,,
1111,Karl Amon,Port Adelaide,Midfield,19 Aug 95,23yr,181cm,71kg,,,,
823,Brett Ebert,Port Adelaide,Forward,18 Nov 83,29yr,179cm,88kg,,,,
722,Jay Schulz,Port Adelaide,Forward,18 Apr 85,31yr,193cm,95kg,,,,
725,Jesse Palmer,Port Adelaide,Forward,17 Oct 96,20yr,188cm,86kg,,,,
446,Martin Frederick,Port Adelaide,Defender,17 May 00,18yr,178cm,74kg,,,,
622,Kane Farrell,Port Adelaide,Forward,17 Mar 99,20yr,182cm,74kg,,,,
943,Tobin Cox,Port Adelaide,Forward,15 Jul 99,19yr,181cm,73kg,,,,
406,Jacob Surjan,Port Adelaide,Defender,15 Aug 85,26yr,179cm,84kg,,,,
885,Matt White,Port Adelaide,Forward,15 Apr 87,30yr,180cm,84kg,,,,
1376,Paddy Ryder,Port Adelaide,Ruck,14 Mar 88,31yr,197cm,94kg,,,,
1410,Patrick Ryder,Port Adelaide,Ruck,14 Mar 88,31yr,197cm,94kg,,,,
993,Peter Ladhams,Port Adelaide,Forward,14 Jan 98,21yr,202cm,95kg,,,,
143,Hamish Hartlett,Port Adelaide,Defender,14 Aug 90,28yr,185cm,83kg,,,,
1107,Jared Polec,Port Adelaide,Midfield,12 Oct 92,26yr,188cm,85kg,,,,
144,Dan Houston,Port Adelaide,Defender,12 May 97,21yr,186cm,83kg,,,,
862,Steven Motlop,Port Adelaide,Forward,12 Mar 91,28yr,183cm,76kg,,,,
723,Paul Stewart,Port Adelaide,Forward,10 Jul 87,28yr,191cm,91kg,,,,
1301,Willem Drew,Port Adelaide,Midfield,1 Oct 98,20yr,188cm,78kg,,,,
1339,Justin Westhoff,Port Adelaide,Ruck,1 Oct 86,32yr,199cm,96kg,,,,
616,Sam Gray,Port Adelaide,Forward,1 Feb 92,27yr,176cm,75kg,,,,
1182,Kane Mitchell,Port Adelaide,Midfield,1 Dec 89,26yr,174cm,75kg,,,,
248,Matthew Broadbent,Port Adelaide,Defender,1 Aug 90,28yr,189cm,89kg,,,,
614,Travis Boak,Port Adelaide,Forward,1 Aug 88,30yr,183cm,85kg,,,,
375,Campbell Heath,Port Adelaide,Defender,1 Apr 91,23yr,188cm,82kg,,,,
149,Jasper Pittard,Port Adelaide,Defender,1 Apr 91,28yr,186cm,84kg,,,,
447,Cam Hewett,Port Adelaide,Defender,26-Feb-97,,189cm,82kg,,,,
1302,Cam Sutcliffe,Port Adelaide,Midfield,23-May-92,,187cm,88kg,,,,
1223,Liam Anthony,North Melbourne,Midfield,9 Sep 87,26yr,189cm,88kg,,,,
246,Dan Nielson,North Melbourne,Defender,9 May 96,21yr,194cm,92kg,,,,
132,Scott D Thompson,North Melbourne,Defender,9 May 86,32yr,193cm,94kg,,,,
1323,Bailey Scott,North Melbourne,Midfield,9 Jul 00,18yr,186cm,73kg,,,,
1103,Ben Jacobs,North Melbourne,Midfield,9 Jan 92,27yr,185cm,83kg,,,,
130,Luke McDonald,North Melbourne,Defender,9 Feb 95,24yr,190cm,85kg,,,,
1099,Luke Davies-Uniacke,North Melbourne,Midfield,8 Jun 99,19yr,187cm,85kg,,,,
689,Taylor Garner,North Melbourne,Forward,8 Jan 94,25yr,186cm,80kg,,,,
940,Tom Wilkinson,North Melbourne,Forward,7 Mar 96,23yr,181cm,82kg,,,,
606,Nathan Hrovat,North Melbourne,Forward,7 Jun 94,24yr,174cm,77kg,,,,
1265,Cruize Garlett,North Melbourne,Midfield,6 Mar 89,23yr,174cm,74kg,,,,
1298,Kyron Hayden,North Melbourne,Midfield,6 Jun 99,19yr,186cm,87kg,,,,
690,Nick Larkey,North Melbourne,Forward,6 Jun 98,20yr,197cm,82kg,,,,
137,Sam Durdin,North Melbourne,Defender,6 Jun 96,22yr,198cm,95kg,,,,
769,Leigh Adams,North Melbourne,Forward,6 Apr 88,27yr,176cm,79kg,,,,
937,Curtis Taylor,North Melbourne,Forward,6 Apr 00,19yr,187cm,78kg,,,,
607,Jy Simpkin,North Melbourne,Forward,5 Mar 98,21yr,182cm,75kg,,,,
1102,Shaun Higgins,North Melbourne,Midfield,4 Mar 88,31yr,184cm,89kg,,,,
4157,BenÿMcKinley,North Melbourne,Forward,4 Mar 87,25yr,185cm,85kg,,,,
609,Jarrad Waite,North Melbourne,Forward,4 Feb 83,35yr,194cm,95kg,,,,
608,Kayne Turner,North Melbourne,Forward,31 Dec 95,23yr,179cm,64kg,,,,
4194,AydenÿKennedy,North Melbourne,Forward,30 Oct 91,21yr,192cm,89kg,,,,
613,Will Walker,North Melbourne,Forward,30 Mar 99,20yr,187cm,78kg,,,,
1100,Trent Dumont,North Melbourne,Midfield,30 Jun 95,23yr,186cm,85kg,,,,
1098,Ben Cunnington,North Melbourne,Midfield,30 Jun 91,27yr,185cm,87kg,,,,
424,Brad McKenzie,North Melbourne,Defender,29 May 93,22yr,186cm,84kg,,,,
341,Max Warren,North Melbourne,Defender,29 Jan 93,22yr,181cm,80kg,,,,
133,Ed Vickers-Willis,North Melbourne,Defender,28 Mar 96,23yr,190cm,86kg,,,,
139,Alex Morgan,North Melbourne,Defender,28 Jan 96,22yr,181cm,79kg,,,,
610,Jack Ziebell,North Melbourne,Forward,28 Feb 91,28yr,188cm,90kg,,,,
281,Michael Firrito,North Melbourne,Defender,27 Nov 83,32yr,189cm,93kg,,,,
4235,BradÿMangan,North Melbourne,Defender,27 Apr 91,20yr,190cm,95kg,,,,
316,Joel Tippett,North Melbourne,Defender,26 Oct 88,27yr,196cm,93kg,,,,
373,Will Sierakowski,North Melbourne,Defender,26 Jul 90,22yr,187cm,82kg,,,,
936,Tarryn Thomas,North Melbourne,Forward,25 Mar 00,19yr,188cm,82kg,,,,
938,Lachlan Hosie,North Melbourne,Forward,25 Feb 97,22yr,189cm,78kg,,,,
131,Robbie Tarrant,North Melbourne,Defender,25 Apr 89,29yr,196cm,97kg,,,,
1101,Billy Hartung,North Melbourne,Midfield,24 Jan 95,23yr,178cm,67kg,,,,
372,Taylor Hine,North Melbourne,Defender,24 Jan 92,22yr,184cm,83kg,,,,
129,Jamie Macmillan,North Melbourne,Defender,23 Sep 91,27yr,188cm,86kg,,,,
1163,Corey Wagner,North Melbourne,Midfield,23 Mar 97,22yr,180cm,74kg,,,,
1181,Farren Ray,North Melbourne,Midfield,23 Mar 86,30yr,187cm,84kg,,,,
1299,Tom McKenzie,North Melbourne,Midfield,23 Jun 00,18yr,184cm,80kg,,,,
611,Cameron Zurhaar,North Melbourne,Forward,22 May 98,20yr,188cm,79kg,,,,
247,Ben McKay,North Melbourne,Defender,22 Mar 92,27yr,178cm,76kg,,,,
134,Marley Williams,North Melbourne,Defender,22 Jul 93,25yr,181cm,83kg,,,,
1180,Nick Dal Santo,North Melbourne,Midfield,22 Feb 84,32yr,185cm,85kg,,,,
821,Matt Campbell,North Melbourne,Forward,21 Jan 87,25yr,170cm,72kg,,,,
605,Ben Brown,North Melbourne,Forward,20 Nov 92,26yr,200cm,98kg,,,,
4237,BenÿSpeight,North Melbourne,Midfield,2 May 90,22yr,183cm,78kg,,,,
1162,Andrew Swallow,North Melbourne,Midfield,2 Jun 87,29yr,182cm,80kg,,,,
317,Scott McMahon,North Melbourne,Defender,2 Jun 86,28yr,184cm,88kg,,,,
1097,Jed Anderson,North Melbourne,Midfield,2 Feb 94,25yr,178cm,75kg,,,,
4128,CameronÿRichardson,North Melbourne,Defender,2 Dec 87,25yr,189cm,87kg,,,,
374,Cameron Delaney,North Melbourne,Defender,19 Jun 92,23yr,194cm,91kg,,,,
138,Tom Murphy,North Melbourne,Defender,19 Jan 98,21yr,187cm,80kg,,,,
939,Red Og Murphy,North Melbourne,Forward,18 Oct 00,18yr,185cm,80kg,,,,
5610,TimÿMcGenniss,North Melbourne,Midfield,18 Jan 94,20yr,182cm,79kg,,,,
963,Declan Watson,North Melbourne,Defender,17 Sep 98,20yr,194cm,80kg,,,,
128,Ryan Clarke,North Melbourne,Defender,17 Jun 97,21yr,184cm,84kg,,,,
244,Lachlan Hansen,North Melbourne,Defender,17 Aug 88,28yr,197cm,98kg,,,,
1395,Braydon Preuss,North Melbourne,Ruck,16 Jun 95,23yr,206cm,109kg,,,,
7471,TomÿJeffries,North Melbourne,Ruck,15 Mar 99,19yr,202cm,100kg,,,,
1433,Tristan Xerri,North Melbourne,Ruck,15 Mar 99,20yr,201cm,93kg,,,,
796,Kieran Harper,North Melbourne,Forward,15 Jun 92,22yr,187cm,84kg,,,,
136,Sam Wright,North Melbourne,Defender,15 Jul 90,28yr,188cm,85kg,,,,
720,Brent Harvey,North Melbourne,Forward,14 May 78,37yr,167cm,75kg,,,,
6511,WillÿFordham,North Melbourne,Midfield,14 Mar 96,21yr,188cm,78kg,,,,
4212,BenÿMabon,North Melbourne,Ruck,14 Jun 92,20yr,200cm,89kg,,,,
444,Joel Crocker,North Melbourne,Defender,14 Apr 00,19yr,188cm,77kg,,,,
612,Mason Wood,North Melbourne,Forward,13 Sep 93,25yr,192cm,84kg,,,,
604,Shaun Atley,North Melbourne,Forward,13 Sep 92,26yr,189cm,84kg,,,,
420,Declan Mountford,North Melbourne,Defender,13 Feb 97,21yr,181cm,75kg,,,,
1164,Josh Williams,North Melbourne,Midfield,12 Jun 98,19yr,189cm,69kg,,,,
135,Majak Daw,North Melbourne,Defender,11 Mar 91,28yr,195cm,97kg,,,,
822,Ben Warren,North Melbourne,Forward,11 Feb 89,23yr,186cm,89kg,,,,
721,Robin Nahas,North Melbourne,Forward,10 Nov 87,28yr,176cm,75kg,,,,
1375,Todd Goldstein,North Melbourne,Ruck,1 Jul 88,30yr,201cm,103kg,,,,
1104,Paul Ahern,North Melbourne,Midfield,1 Aug 96,22yr,182cm,82kg,,,,
4044,BenÿWarren,North Melbourne,Forward,11-Feb-89,,186cm,89kg,,,,
245,Mitchell Hibberd,North Melbourne,Defender,23-Sep-96,,192cm,87kg,,,,
1394,Jake Spencer,Melbourne,Ruck,9 Oct 89,27yr,203cm,103kg,,,,
595,Mitch Hannan,Melbourne,Forward,9 Mar 94,25yr,187cm,83kg,,,,
598,Alex Neal-Bullen,Melbourne,Forward,9 Jan 96,23yr,182cm,76kg,,,,
1093,Angus Brayshaw,Melbourne,Midfield,9 Jan 96,23yr,187cm,88kg,,,,
1094,Billy Stretch,Melbourne,Midfield,8 Sep 96,22yr,180cm,71kg,,,,
1239,David Rodan,Melbourne,Midfield,8 Oct 83,29yr,173cm,87kg,,,,
992,Declan Keilty,Melbourne,Forward,8 May 95,23yr,193cm,88kg,,,,
1092,Dom Tyson,Melbourne,Midfield,8 Jun 93,25yr,186cm,81kg,,,,
1089,Corey Maynard,Melbourne,Midfield,7 Oct 91,27yr,191cm,84kg,,,,
367,Tom Gillies,Melbourne,Defender,7 Mar 90,23yr,192cm,95kg,,,,
767,Shannon Byrnes,Melbourne,Forward,7 Apr 84,30yr,175cm,77kg,,,,
405,Josh Tynan,Melbourne,Defender,6 Nov 93,19yr,185cm,81kg,,,,
1086,Bayley Fritsch,Melbourne,Midfield,6 Dec 96,22yr,186cm,74kg,,,,
1087,James Harmes,Melbourne,Midfield,5 Oct 95,23yr,185cm,78kg,,,,
119,Jake Lever,Melbourne,Defender,5 Mar 96,23yr,194cm,85kg,,,,
962,Marty Hore,Melbourne,Defender,5 Mar 96,23yr,189cm,81kg,,,,
370,Mitch Clisby,Melbourne,Defender,5 Jan 90,24yr,182cm,83kg,,,,
1091,Tomas Bugg,Melbourne,Midfield,5 Apr 93,25yr,185cm,76kg,,,,
860,Christian Petracca,Melbourne,Forward,4 Jan 96,23yr,186cm,94kg,,,,
934,Tom Sparrow,Melbourne,Forward,31 May 00,18yr,183cm,83kg,,,,
1197,Daniel Cross,Melbourne,Midfield,30 Mar 83,32yr,187cm,87kg,,,,
1374,Max Gawn,Melbourne,Ruck,30 Dec 91,27yr,208cm,111kg,,,,
718,Ben Kennedy,Melbourne,Forward,3 Mar 94,23yr,174cm,76kg,,,,
861,Aaron Vandenberg,Melbourne,Forward,3 Mar 92,27yr,188cm,90kg,,,,
116,Michael Hibberd,Melbourne,Defender,3 Jan 90,29yr,187cm,90kg,,,,
932,Jay Lockhart,Melbourne,Forward,3 Feb 96,23yr,177cm,75kg,,,,
594,Jeff Garlett,Melbourne,Forward,3 Aug 89,29yr,180cm,75kg,,,,
117,Jayden Hunt,Melbourne,Defender,3 Apr 95,24yr,187cm,79kg,,,,
597,Jake Melksham,Melbourne,Forward,29 Aug 91,27yr,186cm,84kg,,,,
893,Ben Newton,Melbourne,Forward,29 Apr 89,29yr,195cm,102kg,,,,
768,Luke Tapscott,Melbourne,Forward,28 Jun 91,22yr,180cm,87kg,,,,
125,Sam Frost,Melbourne,Defender,28 Aug 93,25yr,194cm,88kg,,,,
278,Colin Garland,Melbourne,Defender,28 Apr 88,28yr,191cm,90kg,,,,
1432,Austin Bradtke,Melbourne,Ruck,27 May 00,18yr,204cm,90kg,,,,
935,Toby Bedford,Melbourne,Forward,27 May 00,18yr,178cm,69kg,,,,
1297,Aaron Nietschke,Melbourne,Midfield,26 May 00,18yr,184cm,77kg,,,,
