,Player,Team,Position,DOB,Age,Height,Weight,,,,
949,Jarrod Cameron,West Coast,Forward,3 May 00,18yr,182cm,70kg,,,,
1314,Xavier ONeill,West Coast,Midfield,3 Aug 00,18yr,185cm,80kg,,,,
455,Francis Watson,West Coast,Defender,29 Sep 95,23yr,186cm,79kg,,,,
199,Tom Cole,West Coast,Defender,28 May 97,21yr,185cm,76kg,,,,
293,Xavier Ellis,West Coast,Defender,28 Feb 88,28yr,187cm,80kg,,,,
1143,Brayden Ainsworth,West Coast,Midfield,27 Nov 98,20yr,183cm,75kg,,,,
1245,Andrew Embley,West Coast,Midfield,27 Jun 81,31yr,189cm,89kg,,,,
1340,Scott Lycett,West Coast,Ruck,26 Sep 92,26yr,203cm,98kg,,,,
346,Blayne Wilson,West Coast,Defender,26 Jan 92,22yr,188cm,89kg,,,,
1205,Brant Colledge,West Coast,Midfield,25 Oct 94,21yr,192cm,90kg,,,,
1142,Mark Hutchings,West Coast,Midfield,25 May 91,27yr,181cm,81kg,,,,
1341,Nathan Vardy,West Coast,Ruck,25 Jun 91,27yr,198cm,101kg,,,,
5038,BradÿDick,West Coast,Midfield,25 Jul 88,24yr,182cm,79kg,,,,
454,Josh Rotham,West Coast,Defender,25 Feb 98,21yr,192cm,79kg,,,,
663,Josh J Kennedy,West Coast,Forward,25 Aug 87,31yr,196cm,99kg,,,,
344,Jacob Brennan,West Coast,Defender,24 Jan 90,24yr,188cm,82kg,,,,
197,Will Schofield,West Coast,Defender,24 Jan 89,30yr,196cm,91kg,,,,
198,Brad Sheppard,West Coast,Defender,23 May 91,27yr,186cm,82kg,,,,
6617,CoreyÿAdamson,West Coast,Defender,23 Feb 92,24yr,188cm,93kg,,,,
656,Jamie Cripps,West Coast,Forward,23 Apr 92,26yr,183cm,81kg,,,,
1169,Matt Priddis,West Coast,Midfield,21 Mar 85,32yr,185cm,84kg,,,,
1270,Ryan Neates,West Coast,Midfield,21 Jun 91,20yr,169cm,68kg,,,,
665,Brendon Ah Chee,West Coast,Forward,21 Dec 93,25yr,188cm,84kg,,,,
345,Ashley Smith,West Coast,Defender,20 Jul 90,23yr,186cm,86kg,,,,
7519,TonyÿOlango,West Coast,Ruck,2 Sep 98,19yr,201cm,80kg,,,,
659,Liam Ryan,West Coast,Forward,2 Oct 96,22yr,179cm,71kg,,,,
1137,Chris Masten,West Coast,Midfield,2 May 89,29yr,179cm,77kg,,,,
1140,Luke Shuey,West Coast,Midfield,2 Jun 90,28yr,183cm,88kg,,,,
751,Tom Lamb,West Coast,Forward,19 Oct 96,20yr,193cm,82kg,,,,
660,Daniel Venables,West Coast,Forward,19 Nov 98,20yr,186cm,81kg,,,,
255,Eric Mackenzie,West Coast,Defender,19 May 88,29yr,196cm,98kg,,,,
200,Oscar Allen,West Coast,Defender,19 Mar 99,20yr,191cm,83kg,,,,
1386,Fraser McInnes,West Coast,Ruck,19 Jul 93,25yr,197cm,91kg,,,,
698,Josh Hill,West Coast,Forward,19 Jan 89,28yr,185cm,83kg,,,,
6615,AlecÿWaterman,West Coast,Midfield,19 Aug 96,19yr,183cm,89kg,,,,
1312,Matthew Allen,West Coast,Midfield,18 Oct 97,21yr,192cm,72kg,,,,
827,Andrew Strijk,West Coast,Forward,18 Oct 87,24yr,183cm,84kg,,,,
752,Murray Newman,West Coast,Forward,18 Nov 93,21yr,182cm,75kg,,,,
1248,Cale Morton,West Coast,Midfield,18 Jan 90,23yr,192cm,88kg,,,,
732,Patrick McGinnity,West Coast,Forward,18 Feb 89,27yr,183cm,82kg,,,,
294,Mitchell Brown,West Coast,Defender,17 Dec 88,27yr,195cm,93kg,,,,
347,Adam Carter,West Coast,Defender,17 Apr 94,20yr,179cm,74kg,,,,
1439,Bailey J Williams,West Coast,Ruck,17 Apr 00,19yr,198cm,95kg,,,,
1247,Daniel Kerr,West Coast,Midfield,16 May 83,29yr,178cm,80kg,,,,
1136,Andrew Gaff,West Coast,Midfield,16 Jun 92,26yr,181cm,83kg,,,,
699,Drew Petrie,West Coast,Forward,15 Oct 82,34yr,197cm,101kg,,,,
196,Jackson Nelson,West Coast,Defender,15 Mar 96,23yr,186cm,81kg,,,,
1246,Bradd Dalziell,West Coast,Midfield,15 Mar 87,26yr,184cm,83kg,,,,
195,Jeremy McGovern,West Coast,Defender,15 Apr 92,27yr,195cm,93kg,,,,
343,Darren Glass,West Coast,Defender,14 May 81,32yr,192cm,92kg,,,,
257,Sam Butler,West Coast,Defender,14 Jan 86,31yr,187cm,81kg,,,,
657,Jack Darling,West Coast,Forward,13 Jun 92,26yr,191cm,91kg,,,,
6200,WillÿMaginness,West Coast,Midfield,13 Jan 95,20yr,182cm,75kg,,,,
1168,Sam Mitchell,West Coast,Midfield,12 Oct 82,34yr,179cm,83kg,,,,
661,Jake Waterman,West Coast,Forward,12 Mar 98,21yr,191cm,82kg,,,,
664,Jack Petruccelle,West Coast,Forward,12 Apr 99,20yr,185cm,78kg,,,,
258,Kurt Mutimer,West Coast,Defender,11 Mar 97,22yr,184cm,81kg,,,,
666,Jarrod Brander,West Coast,Forward,11 Feb 99,20yr,195cm,92kg,,,,
192,Liam Duggan,West Coast,Defender,11 Dec 96,22yr,183cm,75kg,,,,
7310,TomÿGorter,West Coast,Defender,10 Sep 96,20yr,191cm,86kg,,,,
1139,Dom Sheed,West Coast,Midfield,10 Apr 95,24yr,185cm,83kg,,,,
1141,Elliot Yeo,West Coast,Midfield,1 Oct 93,25yr,189cm,79kg,,,,
970,Harry Edwards,West Coast,Defender,1 Oct 00,18yr,195cm,80kg,,,,
380,Adam Selwood,West Coast,Defender,1 May 84,28yr,189cm,83kg,,,,
700,Malcolm Karpany,West Coast,Forward,1 Jun 95,22yr,176cm,73kg,,,,
1353,Dean Cox,West Coast,Ruck,1 Aug 81,32yr,203cm,107kg,,,,
733,Simon Tunbridge,West Coast,Forward,1 Apr 93,24yr,191cm,94kg,,,,
453,Durak Tucker,Sydney,Defender,9 Feb 00,19yr,189cm,73kg,,,,
1135,Jordan Dawson,Sydney,Midfield,9 Apr 97,22yr,190cm,84kg,,,,
478,Lewis Roberts-Thomson,Sydney,Forward,8 Sep 83,30yr,194cm,94kg,,,,
1344,Kurt Tippett,Sydney,Ruck,8 May 87,31yr,202cm,104kg,,,,
750,Adam Goodes,Sydney,Forward,8 Jan 80,35yr,191cm,100kg,,,,
649,Gary Rohan,Sydney,Forward,7 Jun 91,27yr,189cm,89kg,,,,
1413,Tom Derickx,Sydney,Ruck,7 Dec 87,28yr,201cm,100kg,,,,
181,Jarrad McVeigh,Sydney,Defender,7 Apr 85,34yr,183cm,82kg,,,,
1129,Harry Cunningham,Sydney,Midfield,6 Dec 93,25yr,180cm,80kg,,,,
379,Martin Mattner,Sydney,Defender,6 Aug 82,30yr,188cm,86kg,,,,
187,Aliir Aliir,Sydney,Defender,5 Sep 94,24yr,193cm,94kg,,,,
869,Isaac Heeney,Sydney,Forward,5 May 96,22yr,184cm,80kg,,,,
254,Jeremy Laidler,Sydney,Defender,5 Aug 89,27yr,189cm,89kg,,,,
182,Lewis Melican,Sydney,Defender,4 Nov 96,22yr,193cm,95kg,,,,
648,Dean Towers,Sydney,Forward,4 May 90,27yr,189cm,83kg,,,,
645,Lance Franklin,Sydney,Forward,30 Jan 87,32yr,196cm,103kg,,,,
653,Tom McCartin,Sydney,Forward,30 Dec 99,19yr,193cm,84kg,,,,
7503,AngusÿStyles,Sydney,Defender,3 May 99,18yr,185cm,76kg,,,,
651,Dan Robinson,Sydney,Forward,3 Jul 94,23yr,185cm,82kg,,,,
1131,George Hewett,Sydney,Midfield,29 Dec 95,23yr,185cm,83kg,,,,
870,Kieren Jack,Sydney,Forward,28 Jun 87,31yr,178cm,78kg,,,,
801,Mitch Morton,Sydney,Forward,28 Jan 87,26yr,185cm,82kg,,,,
968,Jack Maibaum,Sydney,Defender,27 Mar 98,21yr,193cm,90kg,,,,
1438,Michael Knoll,Sydney,Ruck,27 Feb 93,26yr,205cm,103kg,,,,
997,Nick Blakey,Sydney,Forward,27 Feb 00,19yr,195cm,82kg,,,,
650,Sam Reid,Sydney,Forward,27 Dec 91,27yr,196cm,96kg,,,,
646,Will Hayward,Sydney,Forward,26 Oct 98,20yr,185cm,75kg,,,,
802,Tommy Walsh,Sydney,Forward,26 Feb 88,26yr,193cm,99kg,,,,
1133,Luke Parker,Sydney,Midfield,25 Oct 92,26yr,183cm,86kg,,,,
887,Brandon Jack,Sydney,Forward,25 May 94,22yr,182cm,77kg,,,,
291,Xavier Richards,Sydney,Defender,25 Apr 93,22yr,194cm,87kg,,,,
1412,Mike Pyke,Sydney,Ruck,24 Mar 84,31yr,201cm,104kg,,,,
1229,Ryan OKeefe,Sydney,Midfield,24 Jan 81,33yr,187cm,88kg,,,,
1134,Dan Hannebery,Sydney,Midfield,24 Feb 91,27yr,181cm,81kg,,,,
731,Ben McGlynn,Sydney,Forward,24 Dec 97,21yr,198cm,95kg,,,,
1328,Zac Foot,Sydney,Midfield,24 Dec 00,18yr,181cm,73kg,,,,
1383,Callum Sinclair,Sydney,Ruck,23 Sep 89,29yr,200cm,95kg,,,,
894,Jack Hiscox,Sydney,Forward,23 Mar 95,21yr,184cm,74kg,,,,
1130,Oliver Florent,Sydney,Midfield,22 Jul 98,20yr,183cm,74kg,,,,
6957,TyroneÿLeonardis,Sydney,Midfield,22 Feb 97,20yr,182cm,82kg,,,,
180,Jake Lloyd,Sydney,Defender,20 Sep 93,25yr,180cm,75kg,,,,
1310,Josh Kennedy,Sydney,Midfield,20 Jun 88,30yr,188cm,96kg,,,,
